framework,matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
cuda,naive_b16,256,256,256,10,0.041373,0.040800,811.026,PASS
cuda,naive_b16,256,256,256,50,0.041302,0.040480,812.409,PASS
cuda,naive_b16,256,256,256,100,0.041086,0.039424,816.693,PASS
cuda,tiled_t8,256,256,256,10,0.020013,0.018464,1676.649,PASS
cuda,tiled_t8,256,256,256,50,0.020480,0.018688,1638.400,PASS
cuda,tiled_t8,256,256,256,100,0.020608,0.018912,1628.249,PASS
cuda,tiled_t16,256,256,256,10,0.032931,0.032480,1018.925,PASS
cuda,tiled_t16,256,256,256,50,0.033186,0.032384,1011.104,PASS
cuda,tiled_t16,256,256,256,100,0.033310,0.032352,1007.326,PASS
cuda,tiled_t32,256,256,256,10,0.156390,0.155520,214.556,PASS
cuda,tiled_t32,256,256,256,50,0.156340,0.155168,214.624,PASS
cuda,tiled_t32,256,256,256,100,0.156195,0.155104,214.824,PASS
cuda,naive_b16,512,512,512,10,0.247725,0.246432,1083.603,PASS
cuda,naive_b16,512,512,512,50,0.247848,0.246048,1083.066,PASS
cuda,naive_b16,512,512,512,100,0.247426,0.245792,1084.911,PASS
cuda,tiled_t8,512,512,512,10,0.094186,0.093280,2850.069,PASS
cuda,tiled_t8,512,512,512,50,0.094219,0.092640,2849.063,PASS
cuda,tiled_t8,512,512,512,100,0.094060,0.092224,2853.889,PASS
cuda,tiled_t16,512,512,512,10,0.182115,0.180224,1473.987,PASS
cuda,tiled_t16,512,512,512,50,0.181992,0.180448,1474.988,PASS
cuda,tiled_t16,512,512,512,100,0.181749,0.180448,1476.959,PASS
cuda,tiled_t32,512,512,512,10,0.602518,0.601408,445.522,PASS
cuda,tiled_t32,512,512,512,50,0.602986,0.601696,445.177,PASS
cuda,tiled_t32,512,512,512,100,0.603063,0.600704,445.120,PASS
cuda,naive_b16,768,768,768,10,0.836918,0.835456,1082.507,PASS
cuda,naive_b16,768,768,768,50,0.836808,0.835104,1082.649,PASS
cuda,naive_b16,768,768,768,100,0.836788,0.834656,1082.675,PASS
cuda,tiled_t8,768,768,768,10,0.289974,0.288672,3124.309,PASS
cuda,tiled_t8,768,768,768,50,0.289776,0.288352,3126.448,PASS
cuda,tiled_t8,768,768,768,100,0.289867,0.288512,3125.464,PASS
cuda,tiled_t16,768,768,768,10,0.596630,0.595360,1518.477,PASS
cuda,tiled_t16,768,768,768,50,0.596529,0.595360,1518.736,PASS
cuda,tiled_t16,768,768,768,100,0.596292,0.594368,1519.339,PASS
cuda,tiled_t32,768,768,768,10,1.792544,1.789952,505.410,PASS
cuda,tiled_t32,768,768,768,50,1.792603,1.789920,505.393,PASS
cuda,tiled_t32,768,768,768,100,1.792404,1.789792,505.449,PASS
cuda,naive_b16,384,1024,160,10,0.126230,0.124768,996.821,PASS
cuda,naive_b16,384,1024,160,50,0.125999,0.124704,998.649,PASS
cuda,naive_b16,384,1024,160,100,0.126071,0.124864,998.081,PASS
cuda,tiled_t8,384,1024,160,10,0.047590,0.047008,2644.002,PASS
cuda,tiled_t8,384,1024,160,50,0.047574,0.046432,2644.927,PASS
cuda,tiled_t8,384,1024,160,100,0.047439,0.046528,2652.456,PASS
cuda,tiled_t16,384,1024,160,10,0.091792,0.090432,1370.807,PASS
cuda,tiled_t16,384,1024,160,50,0.091853,0.090336,1369.900,PASS
cuda,tiled_t16,384,1024,160,100,0.091747,0.090368,1371.486,PASS
cuda,tiled_t32,384,1024,160,10,0.286701,0.285856,438.887,PASS
cuda,tiled_t32,384,1024,160,50,0.287011,0.285248,438.412,PASS
cuda,tiled_t32,384,1024,160,100,0.286979,0.285312,438.460,PASS
cuda,naive_b16,511,257,769,10,0.109837,0.108416,1838.918,PASS
cuda,naive_b16,511,257,769,50,0.110340,0.108416,1830.525,PASS
cuda,naive_b16,511,257,769,100,0.109888,0.108352,1838.056,PASS
cuda,tiled_t8,511,257,769,10,0.074122,0.073120,2724.994,PASS
cuda,tiled_t8,511,257,769,50,0.074120,0.073088,2725.042,PASS
cuda,tiled_t8,511,257,769,100,0.074265,0.072256,2719.733,PASS
cuda,tiled_t16,511,257,769,10,0.152096,0.151392,1327.983,PASS
cuda,tiled_t16,511,257,769,50,0.151935,0.150944,1329.387,PASS
cuda,tiled_t16,511,257,769,100,0.151930,0.150944,1329.432,PASS
cuda,tiled_t32,511,257,769,10,0.456848,0.456128,442.118,PASS
cuda,tiled_t32,511,257,769,50,0.457272,0.455168,441.709,PASS
cuda,tiled_t32,511,257,769,100,0.457252,0.455456,441.727,PASS
pytorch,torch,256,256,256,10,0.047318,0.038784,709.120,PASS
pytorch,torch,256,256,256,50,0.043078,0.036768,778.915,PASS
pytorch,torch,256,256,256,100,0.038791,0.034496,864.998,PASS
pytorch,torch,512,512,512,10,0.045654,0.037792,5879.728,PASS
pytorch,torch,512,512,512,50,0.040839,0.036032,6573.011,PASS
pytorch,torch,512,512,512,100,0.040636,0.034272,6605.827,PASS
pytorch,torch,768,768,768,10,0.050016,0.045152,18113.597,PASS
pytorch,torch,768,768,768,50,0.046765,0.043264,19372.632,PASS
pytorch,torch,768,768,768,100,0.046320,0.042912,19558.930,PASS
